LY86_Treated_Sample1 LY86_Treated_Sample2 LY86_Treated_Sample3 LY86_Treated_Sample4 LY86_Treated_SampleComb
ABRA 0.356345222 0.162309997 -0.171113737 -0.171113737 0.044106936
ABRACL 0.181166128 -0.224217426 -0.073406825 -0.121089321 -0.059386861
ABRAXAS1 0.154593567 0.035648263 0.029250492 0.131348679 0.08771025
ABRAXAS2 0.09359266 0.094321688 -0.030598168 0.05064168 0.051989465
ABT1 -0.16958207 0.023656992 -0.12224478 -0.044939054 -0.078277228
ABTB1 0.234716324 -0.099741629 -0.272550291 -0.360013132 -0.124397182
ABTB2 -0.060619431 0.009625695 -0.168251081 -0.423388403 -0.160658305
ABTB3 0.746096339 0.227693453 -0.08694215 -0.148869899 0.184494436
ACAA1 0.281759442 0.406684051 0.112076089 -0.021617939 0.194725411
ACAA2 0.249460924 -0.194787099 0.17038345 0.207462734 0.108130002
ACACA -0.162610068 0.293453921 -1.049550922 -0.448436529 -0.341785899
ACACB 0.108252811 0.664931542 -0.603201425 -0.380809003 -0.052706519
ACAD10 -0.012900531 0.453454079 -0.016349223 0.090293337 0.128624415
ACAD11 0.05047424 0.163788195 -0.063271086 -0.05536047 0.02390772
ACAD8 -0.048673425 -0.067404489 -0.429228363 -0.490081665 -0.258846985
ACAD9 0.479385367 -0.098442082 -0.017708028 -0.094765383 0.067117468
ACADL 0.118962918 0.038556132 0.261593613 0.227198007 0.161577668
ACADM 0.020590734 0.052759832 -0.115338889 0.118284781 0.019074115
ACADS 0.014698132 0.084622898 -0.059228838 -0.134035384 -0.023485798
ACADSB -0.16611033 0.208348909 -0.136639481 -0.111794356 -0.051548814
ACADVL 0.240005111 0.340866791 0.192271537 0.235545603 0.252172261
ACAP1 1.414828802 1.000203619 0.625808104 0.68170643 0.930636739
ACAP2 0.129575739 0.032323072 -0.361918721 0.095492135 -0.026131944
ACAP3 0.433688518 -0.27944386 -0.177082142 -0.373361723 -0.099049802
ACAT1 -0.251136374 0.078202404 -0.062660131 -0.062144054 -0.074434539
ACAT2 -0.263381866 -0.522575598 -0.228278622 -0.350046453 -0.341070635
ACBD3 -0.034464023 -0.091237649 -0.076064023 -0.013732975 -0.053874667
ACBD4 -0.04036224 0.329003316 -0.482816273 -0.311311275 -0.126371618
ACBD5 0.227856818 -0.017645301 -0.088487342 0.156571129 0.069573826
ACBD6 -0.052473352 0.047472532 0.054965299 -0.197779089 -0.036953653
ACCS 0.426590845 0.508118441 -0.02057584 -0.078774087 0.20883984
ACD 0.149914887 0.120822334 0.145420399 0.033561725 0.112429836
ACE 0.437047564 0.847717971 0.491326466 1.515887751 0.822994938
ACE2 1.80372918 0.043236304 -0.532076027 -0.532076027 0.195703357
ACER1 1.526743248 -0.405005752 -0.516037064 -0.516037064 0.022415842
ACER2 -0.27660354 -0.668893909 -0.878157058 -0.494242077 -0.579474146
ACER3 0.42823213 0.54578441 -0.094755439 0.461347308 0.335152102
ACHE 0.253918641 -0.047602051 -0.097232819 -0.591341889 -0.120564529
ACIN1 -0.034845111 -0.230560984 -0.639541969 -0.577335807 -0.370570968
ACKR1 0.478890656 1.054046942 1.172488399 1.050184302 0.938902575
ACKR2 0.281438885 0.354658054 -0.43702471 -0.046440255 0.038157993
ACKR3 0.522731583 0.480247126 1.431630563 1.221455944 0.914016304
ACKR4 0.496740895 -0.210851457 -0.639694756 -0.433243879 -0.196762299
ACLY -0.333892061 -0.215476927 -0.593230667 -0.565829017 -0.427107168
ACO1 -0.103152917 -0.049968912 -0.382659364 -0.136422034 -0.168050807
ACO2 -0.128708469 0.115362749 -0.299171491 -0.17240557 -0.121230696
ACOD1 2.471648247 2.397329233 1.777305589 2.227837149 2.218530055
ACOT1 0.211531515 -0.140742072 -0.074780892 -0.363258794 -0.091812561
ACOT11 0.131057755 -0.186007523 -0.275442607 0.223105142 -0.026821808
ACOT13 -0.113978305 0.090519818 0.045841075 0.160929161 0.045827937
ACOT2 0.081745126 -0.015930781 -0.299930778 -0.332596967 -0.14167835
ACOT4 -0.082451641 -0.193247505 -0.145550763 0.570146214 0.037224076
ACOT6 -0.017351076 -0.200064042 -0.075077265 0.061881948 -0.057652609
ACOT7 -0.098878229 -0.365236003 -0.102413143 -0.238270452 -0.201199457
ACOT8 0.269590573 0.455266808 -0.269356518 -0.197271896 0.064557242
ACOT9 0.228596269 0.368536902 0.257762503 0.437110223 0.323001474
ACOX1 -0.043714949 -0.023715723 -0.240533192 -0.182884328 -0.122712048
ACOX2 0.624827143 -0.228014609 0.375326421 -0.284598137 0.121885205
ACOX3 0.782420995 0.711934499 -0.209693195 0.380379815 0.416260529
ACOXL 0.55261769 -0.114432126 -0.169398586 -0.155459395 0.028331896
ACP1 -0.13958213 -0.238109224 0.090144099 0.042352254 -0.06129875
ACP2 0.258924269 0.341547834 -0.394888234 0.119552576 0.081284111
ACP5 1.052411052 0.317532062 0.596163323 0.951822275 0.729482178
ACP6 0.123113379 0.248605464 -0.41112685 -0.102257117 -0.035416281
ACP7 1.041939773 -0.307332136 -0.587045283 -1.040617384 -0.223263757
ACP3 0.649157791 -0.476102061 -0.641161307 -0.827574432 -0.323920002
ACRBP 0.602264953 0.165149963 -0.02774802 0.159829631 0.224874132
ACSBG1 0.950570454 -0.836013483 -0.619334713 -0.97980327 -0.371145253
ACSF2 -0.078299597 0.250294618 -0.466740684 -0.27855906 -0.143326181
ACSF3 0.011138945 0.009431816 -0.129935254 -0.101500175 -0.052716167
ACSL1 0.521826332 0.109706987 -0.143763284 -0.017328741 0.117610323
ACSL3 -0.455610221 -0.435370849 -0.038847369 -0.327561297 -0.314347434
ACSL4 0.070959616 0.126331477 -0.019788203 0.079467852 0.064242686
ACSL5 0.364077415 0.164179561 -0.141876103 0.143864626 0.132561374
ACSL6 -0.166089068 -0.073514885 -0.523486174 -0.313268467 -0.269089649
ACSM3 0.063039819 -0.539302773 -0.539302773 -0.375327038 -0.347723191
ACSS1 0.015740727 -0.202602533 -0.28362703 -0.048156264 -0.129661275
ACSS2 -0.160661772 -0.058325259 -0.360685985 -0.255480389 -0.208788352
ACSS3 0.157102003 0.163674691 -0.169749043 0.462519173 0.153386706
ACTA1 0.328241956 1.902129819 -4.870494048 -5.012513053 -1.913158832
ACTA2 0.053869353 -0.770548134 -0.38124091 -0.182350889 -0.320067645
ACTB 0.162381018 -0.056269936 0.201722394 0.201333567 0.127291761
ACTBL2 0.688715406 -0.074872707 -0.131456235 -0.131456235 0.087732557
ACTC1 -0.015058603 0.013233161 -0.365278462 -0.365278462 -0.183095592
ACTG1 0.121967533 -0.011467806 0.363586805 0.234598821 0.177171338
ACTG2 -0.352737704 -0.969190855 -0.633224927 -0.834604815 -0.697439575
ACTL10 -0.189837839 -0.058824492 -0.169382867 -0.248094843 -0.16653501
ACTL6A -0.2856291 -0.296574055 -0.192241937 -0.230161341 -0.251151608
ACTN1 0.052229935 -0.387887861 -0.503341431 -0.038748906 -0.219437066
ACTN2 0.08513228 0.095902182 -1.563233875 -1.060123128 -0.610580635
ACTN3 0.83166017 1.324975329 -1.73989451 -1.647636003 -0.307723753
ACTN4 0.022211772 -0.08720936 -0.583450476 -0.146306375 -0.19868861
ACTR10 -0.187474573 0.000990018 0.236128514 0.015498701 0.016285665
ACTR1A 0.144629588 -0.035508707 -0.162129023 -0.032650823 -0.021414741
ACTR1B -0.115408808 -0.251122602 -0.45332175 -0.101415284 -0.230317111
ACTR2 0.119650862 0.036024202 0.147469893 0.282383453 0.146382103
ACTR3 0.214728101 0.14455709 0.409999924 0.510254219 0.319884834
ACTR3B 0.187937572 0.433435938 0.482635644 -0.084560739 0.254862103
ACTR5 0.141072853 -0.058718384 -0.418112571 -0.081147565 -0.104226417
ACTR6 -0.241042158 -0.455864111 0.193569479 -0.373863097 -0.219299972
ACTR8 -0.321124628 -0.210114603 -0.343940263 -0.454425024 -0.332401129
ACVR1 -0.136978302 -0.139810107 -0.017453938 -0.07087121 -0.091278389
ACVR1B 0.460049804 0.000806875 -0.184597835 -0.102914038 0.043336201
ACVR2A -0.130651771 -0.11843662 -0.370126053 0.079340502 -0.134968486
ACVR2B -0.394793167 -0.270353296 -0.459667282 -0.486533888 -0.402836908
ACVRL1 0.109321866 -0.000714513 -0.09208238 0.007413368 0.005984585
ACY1 -0.021421935 -0.122270272 -0.046350387 0.003166461 -0.046719033
ACY3 0.326450876 0.413426509 0.060754891 0.108571928 0.227301051
ACYP1 0.130454649 0.858065913 0.248602451 -0.230123857 0.251749789
ACYP2 -0.091393228 0.051782888 -0.153942835 -0.340730994 -0.133571043
ADA 0.149250508 0.110947377 0.027738963 0.188115237 0.119013021
ADAL 0.077189631 0.015097734 -0.337620173 0.062451977 -0.045720208
ADAM10 0.00813796 0.024144023 -0.259786657 0.052565672 -0.04373475
ADAM11 0.16755672 -0.094865809 -0.207759865 -0.294174617 -0.107310893
ADAM12 -0.615656524 -1.224868718 -0.911459302 -0.851687082 -0.900917906
ADAM15 0.562022265 0.278264636 0.298933193 0.34960582 0.372206478
ADAM17 0.111255376 -0.058856908 -0.166250865 0.135997191 0.005536198
ADAM19 0.297877836 -0.353960337 -0.192532798 0.574124481 0.081377296
ADAM1A 0.286802645 0.195236034 -0.337111841 -0.116423726 0.007125778
ADAM22 -0.196626986 -0.092540914 -0.422331126 -0.279819482 -0.247829627
ADAM23 -0.439734577 -1.119604491 -0.731039203 -0.31815017 -0.65213211
ADAM32 -0.268873898 -0.017912325 -0.054749093 -0.198484571 -0.135004972
